Accessed on Sun Oct 09 2016 10:45:10 GMT-0700 (PDT)
 
×

2288 Owners Of Avatar of Intrigue
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
 TheBeastie Last name	B	2×	17/53	  GET
 LittleMonster97	A	2×	39/53	  GET
 Zanrin	A+	3×	41/53	  GET
 Seafoodsurfer	A+	8×	53/53	  GET
 Ethan Gomez-Roxas	A+	4×	44/53	  GET
 Norie	B+	2×	17/53	  GET
 Christian Contr	A+	7×	45/53	  GET
 Jglamas	A+	3×	36/53	  GET
 Kiwistunz	A+	3×	47/53	  GET
 Roguedrummerboy	A-	2×	46/53	  GET
 B E	A-	3×	40/53	  GET
 Phellippi Fuzyama	A	2×	41/53	  GET
 David Shingles	A+	4×	41/53	  GET
 Joann Brown	A+	2×	29/53	  GET
 Patrick Hirsch	A+	4×	45/53	  GET
 Andrew Kennedy	A	3×	36/53	  GET
 de_sign00	A+	8×	45/53	  GET
 Kyra Rheeder-Kleist	A+	2×	40/53	  GET
 Lexi Sprague	C	2×	41/53	  GET
 Alex Stewart	A-	2×	29/53	  GET
 Paul Alexandru Geana	A+	2×	39/53	  GET
 Erik Derr	A+	3×	46/53	  GET
 Glenn Martin	C-	3×	40/53	  GET
 Serveothers	A+	4×	46/53	  GET
 Handriantog	A+	3×	40/53	  GET
 Mr.bregi	A+	2×	43/53	  GET
 Angela Sabetto	A+	2×	38/53	  GET
 Shawn Steele	A+	5×	44/53	  GET
 Shikzu	A+	6×	38/53	  GET
 Cristina Piccin	A+	2×	42/53	  GET
 Simforianus Agustian	A+	2×	39/53	  GET
 Tjitze de Boer	A+	2×	20/53	  GET
 George Y. Lee	A+	3×	27/53	  GET
 Caitlin L.	A+	2×	44/53	  GET
 Neonmobster_19102	A+	7×	46/53	  GET
 Sokita Syllyan	A+	2×	41/53	  GET
 Grgzhng	B-	4×	43/53	  GET
 Dahlia Rose	A	2×	32/53	  GET
 Ragdoll	A+	2×	37/53	  GET
 Vaporeon LovesWaffles	A+	3×	38/53	  GET
 Kat	A	2×	45/53	  GET
 Isrofel	A+	6×	43/53	  GET
 Igor Henckes	A+	3×	46/53	  GET
 Devout Faith	C	29×	50/53	  GET
 Albert Poer	A+	3×	38/53	  GET
 Mandi Carpenter	A+	2×	38/53	  GET
 Steven Edwards	A+	3×	41/53	  GET
 Yoshikuni Kakeru	A+	2×	43/53	  GET
 William Collier-Byrd	A+	2×	47/53	  GET
 Winson Goh	A+	3×	44/53	  GET
 Parry Hotter	A-	2×	30/53	  GET
 Vanchatto	A-	2×	35/53	  GET
 Janetvonmurder	A+	3×	40/53	  GET
 Grimblood	A+	4×	40/53	  GET
 Kariotis21	A-	2×	44/53	  GET
 Melissa Lawver	A+	5×	50/53	  GET
 White.kitsune	A+	2×	37/53	  GET
 Melody Auburn	A+	2×	43/53	  GET
 Daniel.chen4092	A+	6×	43/53	  GET
 Fruity Loopz	A-	2×	35/53	  GET
 Myriale Doualias	A+	2×	13/53	  GET
 Moop	A+	3×	49/53	  GET
 Jean-Philippe Doré	A+	3×	45/53	  GET
 Caspar Parker	A+	2×	38/53	  GET
 Patricia Sung	A+	3×	43/53	  GET
 Ndruiz	A+	4×	42/53	  GET
 Jeddediah	A+	3×	41/53	  GET
 Playerdox	A	3×	43/53	  GET
 M.dominguez	A+	2×	39/53	  GET
 Acid	A+	3×	40/53	  GET
 Jeffrey Gielecki	A-	2×	31/53	  GET
 Giacomo Maggi	A+	4×	48/53	  GET
 Nolfinkol	A	2×	36/53	  GET
 Goodbead40	A+	2×	40/53	  GET
 Tabitha Amy Rose	A-	2×	41/53	  GET
 Niki	A+	2×	44/53	  GET
 Neonmobster_4428	A	2×	42/53	  GET
 Maffer Hernández	A+	5×	46/53	  GET
 Danielle	A	5×	41/53	  GET
 Ponti Nishikino	D+	3×	31/53	  GET
 Rares Orzan	B	2×	34/53	  GET
 Ben Gillbanks	A+	3×	34/53	  GET
 Brendha Lopes	A+	4×	40/53	  GET
 Rommel Singca	A+	6×	47/53	  GET
 Jorgf	A-	2×	34/53	  GET
 Angel B	A+	2×	46/53	  GET
 Sammyschw	B	2×	26/53	  GET
 Neonmobster_19289	C+	2×	8/53	  GET
 Caesar Nascimento	A+	3×	45/53	  GET
 James Fox Robinson	A+	4×	42/53	  GET
 Walter Kovacs	A	3×	43/53	  GET
 Bpaquii	A+	2×	37/53	  GET
 Matchbox04ph	A+	5×	38/53	  GET
 Carine Belzon	A+	4×	44/53	  GET
 Nicki Hoffman	A+	4×	45/53	  GET
 Julia Vysotskaya	A+	2×	27/53	  GET
 Glenn Blanza	A+	3×	44/53	  GET
 Urameshi14	C+	2×	36/53	  GET
 Chad Fujihara	A+	2×	41/53	  GET
 KyloRenKnight	A+	2×	36/53	  GET
 Travguyt123	A+	3×	43/53	  GET
 SnowBear	A+	8×	46/53	  GET
 Timelessking	A+	2×	38/53	  GET
 Miklo	A+	8×	46/53	  GET
 Kassidi White	B+	2×	40/53	  GET
 Toapenguin	A+	2×	48/53	  GET
 Miro Kuusisto	A+	2×	19/53	  GET
 Roah	A+	3×	44/53	  GET
 David Duncan	A-	9×	45/53	  GET
 Jessica Seargeant	A+	4×	39/53	  GET
 Dtherealk	B+	2×	33/53	  GET
 Kera Levasseur	A+	3×	36/53	  GET
 jrose	A+	7×	43/53	  GET
 Koyako	A+	3×	39/53	  GET
 Iniferala	C+	2×	42/53	  GET
 Celina Gr	A+	2×	44/53	  GET
 Alberto Bernard	A+	4×	50/53	  GET
 Kashimma Danner	A+	3×	41/53	  GET
 Tom Van Damme	A+	4×	41/53	  GET
 Raeverie	A+	2×	50/53	  GET
 Laila Pinto Alves	A+	4×	42/53	  GET
 Andrewter	A+	5×	51/53	  GET
 Jeroennknol	A+	2×	34/53	  GET
 Franco Hormazabal Labbe	B-	3×	43/53	  GET
 Glenn Blanza	A+	3×	44/53	  GET
 H2OMelon	A+	3×	44/53	  GET
 Adrien Stulken	B	2×	25/53	  GET
 slyff	A+	3×	44/53	  GET
 Megan wants the old NeonMob back	A+	2×	46/53	  GET
 Kayla	A	2×	42/53	  GET
 Moop	A+	3×	49/53	  GET
 Joe Braz	A+	4×	41/53	  GET
 Darkmoon_dancer	A+	2×	42/53	  GET
 Crass	A	3×	44/53	  GET
 Caitlin L.	A+	2×	44/53	  GET
 Barbie Jatico	C+	2×	36/53	  GET
 TrinitySilph	A+	2×	33/53	  GET
 Jcolin80	A+	2×	25/53	  GET
 Brian Kalish Jr.	A+	3×	40/53	  GET
 S_man98	C+	3×	40/53	  GET
 Neonmobster_9344	A-	2×	34/53	  GET
 Winnie Lao	A+	2×	46/53	  GET
 Drkjedeyes	A+	2×	35/53	  GET
 Urameshi14	C+	2×	36/53	  GET
 Magicpuppy	B+	2×	39/53	  GET
 CoolVibranium	A+	2×	44/53	  GET
 Emory	A+	2×	51/53	  GET
 Charlie.anna	A+	2×	43/53	  GET
 Adrian F	A+	3×	37/53	  GET
 Daniel.chen4092	A+	6×	43/53	  GET
 Winson	B-	2×	32/53	  GET
 Ap55	A+	3×	36/53	  GET
 Emory Cash	B	2×	32/53	  GET
 Kilian	A+	2×	53/53	  GET
 Marc Antoine	A+	3×	50/53	  GET
 Chris Iljas	A+	6×	41/53	  GET
 Kleeko	A+	2×	41/53	  GET
 Nate Rapai	A+	4×	46/53	  GET
 Javisa	A+	3×	41/53	  GET
 Leslie Guevara	A+	2×	36/53	  GET
 Celine Ko	A	3×	34/53	  GET
 Sltheringirl92	A+	2×	39/53	  GET
 Chuck Bohatka	A+	4×	45/53	  GET
 Wayne77	C+	3×	34/53	  GET
 Kado.perez	A+	2×	45/53	  GET
 Tarielen Veritas	A+	2×	47/53	  GET
 Andrew Leesman	A+	5×	41/53	  GET
 niartyzarC	A+	2×	45/53	  GET
 Qazyn	A+	7×	50/53	  GET
 Dragonite	A	2×	39/53	  GET
 Alvasaur {PM FOR TRADE}	B+	2×	28/53	  GET
 Timmcanpy	A+	4×	41/53	  GET
 Dracken	A+	6×	48/53	  GET
 Anorak	A+	7×	45/53	  GET
 Makayla Carr	A+	5×	42/53	  GET
 Tjnoverofett	F	4×	38/53	  GET
 Pedro.kutsmi	A+	3×	40/53	  GET
 Dennis Perlstein	A+	4×	45/53	  GET
 dog_scientist444	A+	2×	42/53	  GET
 galliard von Sillein	A+	3×	47/53	  GET
 Austin Batchelor	A+	2×	35/53	  GET
 Justin Vizcara	A	2×	35/53	  GET
 Yoshikuni Kakeru	A+	2×	43/53	  GET
 Kassidi White	B+	2×	40/53	  GET
 Bryan Flynn	A+	2×	36/53	  GET
 Walter Kovacs	A	3×	43/53	  GET
 Brandt Jones	A+	4×	36/53	  GET
 Ndruiz	A+	4×	42/53	  GET
 Neonmobster_978	A	5×	44/53	  GET
 Ncl.nicoara	A+	2×	45/53	  GET
 KeithB	A+	3×	47/53	  GET
 Tradehowyalike	A+	4×	29/53	  GET
 Aaron McDermott	A+	3×	39/53	  GET
 RedCrow	A+	3×	45/53	  GET
 Anna Sweezy	A+	4×	40/53	  GET
 Theresa Story	A+	3×	40/53	  GET
 Daniyel Mills	A+	2×	41/53	  GET
 Chiibit	A	2×	29/53	  GET
 Neonmobster_19289	C+	2×	8/53	  GET
 Loca	F	2×	31/53	  GET
 Coocoo617	A+	4×	44/53	  GET
 Xorj StAnthony	A+	6×	44/53	  GET
 ALT	C-	2×	35/53	  GET
 Piclesboy	A+	3×	46/53	  GET
 David Shingles	A+	4×	41/53	  GET
 Victor Vitiello Silva	A+	2×	29/53	  GET
 Prt917	C+	4×	36/53	  GET
 Sunastra TheGreat	A	2×	42/53	  GET
 Max Nachlinger	A+	2×	41/53	  GET
 Jarrett Rhodes	A+	2×	37/53	  GET
 Caspar Parker	A+	2×	38/53	  GET
 Michael Wallace	A+	4×	50/53	  GET
 Pepe Vásquez	A+	2×	38/53	  GET
 Nick Sabre	A+	15×	53/53	  GET
 13udha	A+	4×	40/53	  GET
 Janetvonmurder	A+	3×	40/53	  GET
 Tom Oude Egberink	A+	3×	46/53	  GET
 Marquaaaa	A+	2×	40/53	  GET
 Barnaby Weatherall	A+	2×	39/53	  GET
 Matthew Schneider	A+	2×	42/53	  GET
 Vossk Hraesvelg	A+	2×	50/53	  GET
 Mirianrose15	A+	2×	45/53	  GET
 Marcos Anguiano	A+	3×	44/53	  GET
 Q Lat	A+	2×	40/53	  GET
 Vanillabliss	A+	6×	52/53	  GET
 Dave Lee	A-	2×	45/53	  GET
 Neonmobster_4428	A	2×	42/53	  GET
 Red Dragonfly	A+	2×	44/53	  GET
 Neonmobster_3511 Winfield	A+	2×	40/53	  GET
 Mr E	A+	3×	42/53	  GET
 Robbsterklaw	A+	2×	34/53	  GET
 Jewlz Robertson	A+	2×	37/53	  GET
 Cheyenne Clark	A+	3×	40/53	  GET
 RuyGDA	A+	3×	46/53	  GET
 Mseeguia	D+	2×	36/53	  GET
 Ag3ntxii	A+	2×	44/53	  GET
 Valerie Dee	A+	3×	46/53	  GET
 William Brown	A+	2×	47/53	  GET
 ERayque	A+	3×	45/53	  GET
 Hazydream	A+	2×	40/53	  GET
 Justin Fedick	A+	3×	37/53	  GET
 the bastard	F	3×	30/53	  GET
 Dawn O'Brien	A+	3×	41/53	  GET
 Crazychick7	A+	10×	44/53	  GET
 Jennifer	A+	2×	36/53	  GET
 Caleb Elder-Hall	A+	2×	45/53	  GET
 Silverblazblue	A+	2×	40/53	  GET
 Dryshark	A+	2×	44/53	  GET
 Tremendoustyler	C+	2×	7/53	  GET
 KucingKecil	B+	2×	39/53	  GET
 Naud van Dalen	A+	3×	43/53	  GET
 Derrykm	A+	2×	35/53	  GET
 Erik Derr	A+	3×	46/53	  GET
 Ron Martin	A+	5×	42/53	  GET
 Cthulhu	A+	6×	44/53	  GET
 Gabriel John Tallungan	D	2×	35/53	  GET
 Patricia Sung	A+	3×	43/53	  GET
 Kristian Zranchev	A+	3×	43/53	  GET
 Mauriciovalentinoborges	A+	2×	38/53	  GET
 Mtgproxymage	A+	5×	38/53	  GET
 Apollo00063	A+	4×	43/53	  GET
 Layton	A+	5×	46/53	  GET
 Daniel Sigal	A+	2×	46/53	  GET
 Kittiemiaou	A+	4×	48/53	  GET
 Zac Kenny	A+	2×	40/53	  GET
 Verywarrior011	A+	3×	41/53	  GET
 Santiago Gomez	A+	3×	47/53	  GET
 Oliver Sparkes	A+	10×	49/53	  GET
 Spyke	A+	2×	48/53	  GET
 Timelessking	A+	2×	38/53	  GET
 Celina Gr	A+	2×	44/53	  GET
 Caleb Hayes	A	4×	36/53	  GET
 Edru71	A+	2×	43/53	  GET
 Deni Octo	C	5×	40/53	  GET
 Jorgf	A-	2×	34/53	  GET
 James	A+	2×	44/53	  GET
 CMW	A+	7×	43/53	  GET
 Stewartnascar14	A	2×	34/53	  GET
 Alberto López	A-	2×	36/53	  GET
 Scylla	B	4×	43/53	  GET
 Kieran Gunn	A+	2×	42/53	  GET
 Luisa Maria Rodriguez	A	2×	38/53	  GET
 Richknot	A+	4×	37/53	  GET
 Tom Dutt	B-	2×	33/53	  GET
 Phelix	A+	2×	39/53	  GET
 Zander Gollogly	B+	4×	42/53	  GET
 Mtzdiana	A+	2×	39/53	  GET
 John Boster	A+	2×	39/53	  GET
 Thomas Grover	C	2×	21/53	  GET
 Brokenpanda	A+	2×	46/53	  GET
 Megan Schumacher	A+	5×	43/53	  GET
 Cramer	A+	4×	49/53	  GET
 Shere Khan	A+	3×	53/53	  GET
 Chris Williams	A+	8×	46/53	  GET
 Darastrix	B	3×	42/53	  GET
 Carlos Torres	A+	5×	44/53	  GET
 Jahn Galt	A+	5×	44/53	  GET
 Thomas Art	A-	2×	42/53	  GET
 Smogthebear	A+	3×	41/53	  GET
 Kate Anderson	A	4×	37/53	  GET
 Adi	A+	2×	37/53	  GET
 Reallybored	A+	8×	46/53	  GET
 Mr.bregi	A+	2×	43/53	  GET
 Melissa Lawver	A+	5×	50/53	  GET
 Bumsley	B+	2×	26/53	  GET
 James Howarth	A+	2×	45/53	  GET
 Mandi Carpenter	A+	2×	38/53	  GET
 Hope Bowman	A+	2×	38/53	  GET
 Kevin Plumley	A+	2×	44/53	  GET
 Bmoremob	B-	2×	25/53	  GET
 Matzika	A	4×	42/53	  GET
 Jt Caddy	A	2×	37/53	  GET
 Reaver	A+	10×	50/53	  GET
 Boon Chuan Lim	A+	6×	40/53	  GET
 Nico Hart	A+	2×	45/53	  GET
 M0m0	C	2×	24/53	  GET
 Zoanthia	A+	4×	46/53	  GET
 Sharoontheraccoon	A+	2×	47/53	  GET
 Libra R	B	2×	30/53	  GET
 Neonmobster_16619	A	2×	37/53	  GET
 Adrian Wagner	A+	8×	44/53	  GET
 Michael Sinclair	A+	7×	48/53	  GET
 [TGL] Dogg	A+	2×	44/53	  GET
 Simforianus Agustian	A+	2×	39/53	  GET
 Ana	A+	2×	40/53	  GET
 Nathsic	C+	4×	42/53	  GET
 Marco	A+	2×	45/53	  GET
 Colin McNeil	B+	2×	37/53	  GET
 Linkle	A+	3×	43/53	  GET
 Catherine	A+	2×	41/53	  GET
 Digisarz	B	2×	25/53	  GET
 Alberto Bernard	A+	4×	50/53	  GET
 Anhosustali	B	2×	43/53	  GET
 Morfinjes	A+	2×	36/53	  GET
 Reo	A+	3×	34/53	  GET
 Rdg001	A+	5×	41/53	  GET
 Sugartime101	A+	5×	42/53	  GET
 Victoritah	C	2×	36/53	  GET
 dozy	A+	2×	48/53	  GET
 Mark Fogle	A+	3×	41/53	  GET
 David Duncan	A-	9×	45/53	  GET
 AJ Esquin	D-	3×	38/53	  GET
 Ryan Reed	B	4×	33/53	  GET
 Jay McAlpine	A+	3×	32/53	  GET
 Neonmobster_19384	A+	3×	41/53	  GET
 Melissa Baldwin	A+	2×	38/53	  GET
 Watawatanari	A+	2×	37/53	  GET
 Spaghetti Spaghetti	A+	3×	50/53	  GET
 Maxwell Dickinson	A+	3×	34/53	  GET
 Tyler Anderson	A+	6×	48/53	  GET
 Vincent Hyde	A+	4×	45/53	  GET
 SilverRedstone	A	3×	40/53	  GET
 Peyton934913	A+	3×	44/53	  GET
 Bluebanana	A+	6×	41/53	  GET
 Dragon Mist	A+	4×	37/53	  GET
 Norie	B+	2×	17/53	  GET
 batiskafo	A+	2×	47/53	  GET
 Igor Henckes	A+	3×	46/53	  GET
 Tiffani Thrace	A+	4×	43/53	  GET
 Prenticemononoke	A+	6×	46/53	  GET
 Chris	B	2×	35/53	  GET
 Raimundo	A+	3×	39/53	  GET
 Pedro Amado	A+	2×	41/53	  GET
 James Walz	A-	2×	38/53	  GET
 Lucaiver	A+	4×	38/53	  GET
 Stereo	A	2×	43/53	  GET
 Tibalt	A+	3×	39/53	  GET
 Ryan	A+	3×	45/53	  GET
 Eclecticloset LLC	D-	2×	16/53	  GET
 Narby	A+	5×	53/53	  GET
 Eleni Panayiotou	A+	4×	50/53	  GET
 Sara Ang	A+	3×	40/53	  GET
 Shuunka	A+	3×	50/53	  GET
 Jinxedcross	A+	3×	46/53	  GET
 Matthew.robert.mcnally	A+	2×	45/53	  GET
 EpiCLicTra	A+	7×	47/53	  GET
 Aquameringue	B	2×	43/53	  GET
 Milan Reno	A+	2×	38/53	  GET
 Wesley Boone	A+	2×	35/53	  GET
 mon_ridge	A+	3×	40/53	  GET
 Purple_drogger	D+	3×	40/53	  GET
 Miklo	A+	8×	46/53	  GET
 J K	A+	6×	45/53	  GET
 John Nero Solace Foulds J.U.B.	A+	2×	52/53	  GET
 Eyesofdoma	A+	3×	40/53	  GET
 Destielgurl	B+	2×	34/53	  GET
 Hewer Situ	A+	2×	38/53	  GET
 Tauntaunrider	A+	5×	41/53	  GET
 Randallpinkflyd	A+	4×	49/53	  GET
 Neonmobster_19637	B+	2×	26/53	  GET
 Ipocalypse	A+	2×	48/53	  GET
 Debra T	A+	3×	43/53	  GET
 Alexcea	A+	2×	29/53	  GET
 Tallytone	A+	2×	35/53	  GET
 Anna Monroe	A	4×	38/53	  GET
 Evilpellu	A+	2×	46/53	  GET
 Neonmobster_4493	A+	5×	44/53	  GET
 Nick Arbeiter	A-	3×	42/53	  GET
 Grace Ann Buenaventura	A	5×	44/53	  GET
 melanie whittall	A+	3×	41/53	  GET
 Tansy Longoria	C	2×	10/53	  GET
 Tommy	A	2×	38/53	  GET
 Neonmobster_19518	C	2×	36/53	  GET
 Nicki Hoffman	A+	4×	45/53	  GET
 hching	B+	5×	47/53	  GET
 Randy Ortiz	A+	2×	33/53	  GET
 Iniferala	C+	2×	42/53	  GET
 Mikuruchu	A+	2×	42/53	  GET
 Albert Poer	A+	3×	38/53	  GET
 Alice	A+	2×	45/53	  GET
 Darr3nrocks	A+	3×	41/53	  GET
 Kris Gansler	A+	3×	41/53	  GET
 Bowen Allen	C-	4×	29/53	  GET
 Koro	A+	2×	30/53	  GET
 Burnettjoey	A	5×	42/53	  GET
 Michael Galindo	A	3×	39/53	  GET
 Davidhj.net	A+	3×	42/53	  GET
 Asonity	A+	2×	41/53	  GET
 Minona	A+	3×	41/53	  GET
 Aaron Young	A+	4×	50/53	  GET
 Scott Hajek	A+	3×	45/53	  GET
 Nushie	B	3×	42/53	  GET
 Arlain	A+	3×	41/53	  GET
 Handriantog	A+	3×	40/53	  GET
 Ricardo Santos	A+	4×	44/53	  GET
 Jimena Palma de Gyvés	A	2×	31/53	  GET
 Magni Thorson	A+	2×	27/53	  GET
 Smodahf	A+	4×	43/53	  GET
 Michael Tsiang	A+	4×	41/53	  GET
 Xavi Serrat	A-	2×	44/53	  GET
 Julius Holme	A+	6×	39/53	  GET
 Rae Corbett	A+	2×	45/53	  GET
 Drew Stone	A+	3×	27/53	  GET
 Alkimim M. P. C.	A+	3×	45/53	  GET
 Steven Edwards	A+	3×	41/53	  GET
 Zman375999	B	2×	25/53	  GET
 Joseph Cheng	A+	4×	42/53	  GET
 Ian McNally	A+	5×	42/53	  GET
 Vilana101004	A	3×	44/53	  GET
 CircleArt	A+	2×	41/53	  GET
 milen.danchev.marinov	A+	2×	40/53	  GET
 Sunwusaru	A+	5×	37/53	  GET
 Fabled3000	A+	4×	42/53	  GET
 Mike Campbell	A+	3×	41/53	  GET
 Kumi	A+	3×	45/53	  GET
 Kyra Rheeder-Kleist	A+	2×	40/53	  GET
 Xelthor	A+	2×	36/53	  GET
 Juan Pablo Granados	A+	3×	42/53	  GET
 Débora Colpani Zelazny	A+	2×	35/53	  GET
 Shieldofsheldor	A+	3×	48/53	  GET
 Anayalimaindianedota lazo	C	2×	30/53	  GET
 Lianett Ruiz	D	2×	32/53	  GET
 Ernest Mattingly	A+	5×	48/53	  GET
 Oracle Saturn	A	4×	43/53	  GET
 Jbot5k	A+	3×	43/53	  GET
 jetsu ku	A-	2×	34/53	  GET
 Javier Mauricio	A	2×	39/53	  GET
 Corey Elliott	A-	3×	15/53	  GET
 Yezi	C	4×	41/53	  GET
 Dominique Williamson	A+	2×	41/53	  GET
 Tanksoul	B	4×	49/53	  GET
 Buddy2539	A+	2×	37/53	  GET
 Beto	A+	4×	42/53	  GET
 Chance Mayhugh	B	3×	43/53	  GET
 Mineano	A+	2×	37/53	  GET
 Ashley Brim	A+	5×	44/53	  GET
 Richard Miller	A+	2×	34/53	  GET
 Waldo Cervantes	A+	6×	40/53	  GET
 Zeila	A+	2×	45/53	  GET
 DaEpikGuy	A	4×	45/53	  GET
 Glas Galahad	C	3×	24/53	  GET
 snakes snakes	B	6×	41/53	  GET
 HardyHero	A	3×	47/53	  GET
 Desdinova	A+	5×	41/53	  GET
 Diane Quintal	A+	2×	39/53	  GET
 Ren Son	A+	3×	40/53	  GET
 Doughnutpugs	A+	3×	42/53	  GET
 Schrodingers Box	A+	4×	44/53	  GET
 Batsy	A	5×	42/53	  GET
 David Sepel	A+	3×	46/53	  GET
 Лев Якушев	A+	3×	42/53	  GET
 Bernardo Salazar Gudiño	A+	2×	40/53	  GET
 Ender	A-	2×	41/53	  GET
 Zax G	A+	5×	41/53	  GET
 kostasthedragon	A+	2×	44/53	  GET
 Verne Ahyong	A+	2×	44/53	  GET
 Golden Fish Entertainment	A+	3×	39/53	  GET
 Jeff Helton	A+	5×	46/53	  GET
 RedLevi	B+	4×	37/53	  GET
 Neonmobster_811	A+	3×	46/53	  GET
 Laurenelizabeth	B-	2×	37/53	  GET
 Trevor Wild	A+	4×	42/53	  GET
 Bram Verhagen	A+	2×	38/53	  GET
 Mary Boulerice	A+	2×	39/53	  GET
 Ray Cintron	B+	3×	33/53	  GET
 Sirindu	A+	7×	45/53	  GET
 Caleb Holmes	A+	2×	40/53	  GET
 Lucario	A+	2×	38/53	  GET
 Marc Villaceran	C-	2×	23/53	  GET
 Antialex	A+	4×	44/53	  GET
 Luis Ruiz	A+	5×	45/53	  GET
 Jakeb114	A-	4×	42/53	  GET
 Notz022	A+	5×	41/53	  GET
 Ako MarkVasquez	A+	3×	39/53	  GET
 Peter Coste	A+	2×	39/53	  GET
 Vaporeon LovesWaffles	A+	3×	38/53	  GET
 Calliekins Riegg	A+	8×	45/53	  GET
 Totien	B	2×	32/53	  GET
 Basquiat	A	3×	39/53	  GET
 Neonmobster_19102	A+	7×	46/53	  GET
 Serveothers	A+	4×	46/53	  GET
 Taylor Reeder	A+	2×	48/53	  GET
 Shaman Suresh	A+	10×	46/53	  GET
 Emmanuel	A+	5×	47/53	  GET
 Zsuzsa Bányai	A+	3×	42/53	  GET
 Neonmobster_19558	A+	3×	40/53	  GET
 Josh Stevers	A+	4×	44/53	  GET
 Lizilya	A+	5×	46/53	  GET
 RonRidler	A	2×	35/53	  GET
 Shawn Steele	A+	5×	44/53	  GET
 Mathieu Hervouët	A	2×	21/53	  GET
 Tami CM	A+	3×	43/53	  GET
 Brian Baron	A+	2×	45/53	  GET
 Jv1000m	B	2×	35/53	  GET
 Giacomo Maggi	A+	4×	48/53	  GET
 Victoria	A+	3×	43/53	  GET
 Alfonso Díaz	A+	2×	40/53	  GET
 Csongor Kiss	A+	2×	38/53	  GET
 Glenn Martin	C-	3×	40/53	  GET
 Jo Ser	B+	2×	36/53	  GET
 Filmsamurai	A+	3×	42/53	  GET
 Neonmobster_17496	A+	2×	32/53	  GET
 Moonfluff	A+	1×	29/53	  GET
 A-Z AlphaBetha	B+	1×	32/53	  GET
 Christopher Luciano	C	1×	6/53	  GET
 Gaby Chéel	D+	1×	22/53	  GET
 Aiko Lune	A+	1×	42/53	  GET
 jake	A+	1×	34/53	  GET
 Brandon Hyman	A+	1×	34/53	  GET
 Kholek99	A+	1×	22/53	  GET
 Kristy Klomp	A+	1×	41/53	  GET
 Ynydzooji	C	1×	6/53	  GET
 Katherine Wise	A+	1×	37/53	  GET
 Natasha Peck	A+	1×	7/53	  GET
 Yoonjoseph99	A+	1×	20/53	  GET
 Ivan	B-	1×	6/53	  GET
 Mroz4k	B	1×	43/53	  GET
 Chris	B+	1×	5/53	  GET
 Hjgst	B+	1×	28/53	  GET
 Sally Higgins	A+	1×	31/53	  GET
 Fanfare	B+	1×	29/53	  GET
 Lak11051999	C	1×	5/53	  GET
 Collector32	A+	1×	19/53	  GET
 Asif Sy	B	1×	34/53	  GET
 Mschromatic	A+	1×	28/53	  GET
 Meg	A+	1×	31/53	  GET
 Rica Azmaria	A+	1×	40/53	  GET
 Willistmoth	F+	1×	7/53	  GET
 joe sheire	A-	1×	35/53	  GET
 Ben Skywalker	C+	1×	6/53	  GET
 Jade	A+	1×	8/53	  GET
 Sean343	C	1×	39/53	  GET
 Pepsi Fur	A+	1×	37/53	  GET
 David Allen	A+	1×	27/53	  GET
 Carter Brown	D	1×	29/53	  GET
 Rabrugger	A+	1×	41/53	  GET
 Matthew Forsythe	A+	1×	22/53	  GET
 Quintin Hartman	A+	1×	41/53	  GET
 Heroicspiritemiya9029	C+	1×	43/53	  GET
 Severehercules	A+	1×	38/53	  GET
 4000778	B+	1×	23/53	  GET
 Angelo Sanguir	C-	1×	12/53	  GET
 Danny Laucik	C	1×	6/53	  GET
 Samuel Gibson	B-	1×	23/53	  GET
 Rebecca	A+	1×	33/53	  GET
 Kazp	A	1×	28/53	  GET
 Miffles Stubbypaws	A	1×	45/53	  GET
 Emily Kittelson	A	1×	41/53	  GET
 Hawkenarse	C-	1×	23/53	  GET
 Jan Co	B+	1×	38/53	  GET
 Allan Chaves	A	1×	29/53	  GET
 Sherman Winter	D+	1×	27/53	  GET
 Matthew Pruitt	A+	1×	27/53	  GET
 Frog Wednesday	A+	1×	35/53	  GET
 Jinx337	B	1×	13/53	  GET
 Pikapancakes	B+	1×	15/53	  GET
 Rumen Toshkov	B	1×	13/53	  GET
 Israel A. Candelario	A	1×	39/53	  GET
 Itatly	A+	1×	42/53	  GET
 Adrian Gison	A+	1×	37/53	  GET
 Nas Vwj	D	1×	39/53	  GET
 Emma Capon	A+	1×	30/53	  GET
 Havid Moenir	A	1×	6/53	  GET
 Tyler Brooks	C-	1×	10/53	  GET
 Nicoleta Andreea	C+	1×	20/53	  GET
 Meow Meow	C-	1×	16/53	  GET
 Niblet372	B+	1×	24/53	  GET
 Malcon Serrano	A+	1×	33/53	  GET
 Kim Ico	A+	1×	15/53	  GET
 Ty Cronin	A+	1×	44/53	  GET
 Thomas McGuinness	A	1×	16/53	  GET
 Kelvin Tse	A+	1×	40/53	  GET
 Chariotofthepineapple	A+	1×	31/53	  GET
 Thor Andre Hammer Olsen	A+	1×	39/53	  GET
 Sp1r1t_92	A+	1×	38/53	  GET
 Payasosiniestro	B-	1×	26/53	  GET
 Muhammad Shifa	B	1×	6/53	  GET
 Massimo1802	D+	1×	18/53	  GET
 Mitchell	A+	1×	30/53	  GET
 Theanimecat	C+	1×	36/53	  GET
 Kiah Marthoma	C	1×	5/53	  GET
