Accessed on Wed Sep 14 2016 14:55:37 GMT-0700 (PDT)
 
×

1069 Owners Of Blind-Angel
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"FISH WORLD"
COMPLETION
 Narby	A+	6×	49/50	  GET
 Kate :)	A+	8×	38/50	  GET
 Javier Voorhees	A+	2×	22/50	  GET
 Ryan Powell	A	9×	48/50	  GET
 Pao	A+	3×	32/50	  GET
 Michel Ehrlich	A+	2×	27/50	  GET
 Q Lat	A+	9×	38/50	  GET
 Neonmobster_3511 Winfield	A+	3×	30/50	  GET
 Jerome	A+	2×	20/50	  GET
 Winter Rose	A+	2×	14/50	  GET
 Watcherorca	A+	2×	20/50	  GET
 Emman Dela Cruz	F+	2×	18/50	  GET
 Madokanna	C+	2×	5/50	  GET
 Roux Hannah	A+	2×	32/50	  GET
 Kuranai	D+	5×	29/50	  GET
 Mike Logaz	A+	2×	44/50	  GET
 Umbra Black	A+	3×	31/50	  GET
 Brandon Que	A+	3×	26/50	  GET
 aprilgoo	A+	1×	19/50	  GET
 Brandon Pleake	A+	1×	11/50	  GET
 Joseph Han	A+	1×	21/50	  GET
 Enma Ai	A+	1×	36/50	  GET
 Dan Kuo	A+	1×	22/50	  GET
 Evalds Voilaks	C-	1×	6/50	  GET
 Daniela	A+	1×	25/50	  GET
 Alex Zander	C-	1×	2/50	  GET
 Matt Claymore	A+	1×	25/50	  GET
 Artgirl62	C+	1×	7/50	  GET
 Damontiareh	C	1×	6/50	  GET
 Scott Elliott	C+	1×	6/50	  GET
 Leah Oskar	A+	1×	29/50	  GET
 M.	A+	1×	7/50	  GET
 Ellaura Lowe	D-	1×	8/50	  GET
 Peque Panda	B-	1×	21/50	  GET
 Herwiporter	A+	1×	14/50	  GET
 Cristian Florez	A+	1×	17/50	  GET
 Dawniel Belnap	A+	1×	36/50	  GET
 Neonmobster_12060	B-	1×	13/50	  GET
 Zinnia	D	1×	3/50	  GET
 Megan	A+	1×	12/50	  GET
 Jlynne	A-	1×	9/50	  GET
 Heather Cournoyer	A+	1×	24/50	  GET
 Keira Robertson	C-	1×	16/50	  GET
 Amalanthopi	A	1×	7/50	  GET
 David Yee	A+	1×	9/50	  GET
 Mamabat15	A+	1×	6/50	  GET
 dobbies	A+	1×	3/50	  GET
 Duston	B-	1×	7/50	  GET
 Ghostshock	D+	1×	7/50	  GET
 Sarah McMullan	A+	1×	45/50	  GET
 Ray Ross	A+	1×	8/50	  GET
 Artemis_twilight	A+	1×	6/50	  GET
 Red Fox	B+	1×	7/50	  GET
 Partcloud	B	1×	25/50	  GET
 Alakae.hikariix	A+	1×	19/50	  GET
 Jo Wolf	A+	1×	23/50	  GET
 Csongor Kiss	A+	1×	8/50	  GET
 Hassan Bilal	B	1×	7/50	  GET
 Z.r.999	A	1×	10/50	  GET
 Yuvalktamar	A	1×	5/50	  GET
 Frost	C	1×	11/50	  GET
 Tony875	A+	1×	16/50	  GET
 Smogthebear	A+	1×	29/50	  GET
 EatmyWonderbao Yomyomyom	B	1×	17/50	  GET
 Etherious6422	A-	1×	30/50	  GET
 Spadventure09	B-	1×	19/50	  GET
 Naomi Deltano	A+	1×	34/50	  GET
 Adam McFall	A+	1×	17/50	  GET
 SquidguyAyyd3 Memeington XLVII	A+	1×	9/50	  GET
 Meri	A-	1×	28/50	  GET
 Tbomb336	B-	1×	4/50	  GET
 Micaelamagali10	A+	1×	5/50	  GET
 Chris	A+	1×	23/50	  GET
 Zolfarolf	B	1×	7/50	  GET
 Neonmobster_19561	A+	1×	10/50	  GET
 Thunder Bolt	A+	1×	4/50	  GET
 Random	A+	1×	2/50	  GET
 Missy	B+	1×	11/50	  GET
 Aquameringue	B	1×	21/50	  GET
 Ash	A+	1×	24/50	  GET
 Pam Hosford	A-	1×	5/50	  GET
 Tatooinedawn	A+	1×	1/50	  GET
 Teatags	A+	1×	26/50	  GET
 Neonmobster_16619	A+	1×	9/50	  GET
 Mark	B+	1×	13/50	  GET
 sad loser boyfriend	A+	1×	9/50	  GET
 Sdbamlee	C	1×	5/50	  GET
 Princesssky	C	1×	5/50	  GET
 Empty_whale	A+	1×	16/50	  GET
 Yarrum	A	1×	13/50	  GET
 Charlotta	A+	1×	2/50	  GET
 Art Star	A+	1×	2/50	  GET
 Whitetopia	C+	1×	1/50	  GET
 Kristina Meloserdoff	A+	1×	11/50	  GET
 Jessica Trask	A+	1×	19/50	  GET
 Jmstar	A+	1×	15/50	  GET
 Giulia Cavallari	A+	1×	26/50	  GET
 Kathryn Geier	A+	1×	11/50	  GET
 Campnoodles	C	1×	5/50	  GET
 Ana Gonçalves	A+	1×	25/50	  GET
 Naylor4cards	F	1×	21/50	  GET
 Maffer Hernández	A+	1×	4/50	  GET
 Blank RobinHood	A+	1×	4/50	  GET
 Whisperwicked	A+	1×	21/50	  GET
 Kaylee the Whimsical	A+	1×	25/50	  GET
 Gungrave77	B-	1×	11/50	  GET
 Weaponxa	A+	1×	14/50	  GET
 SnowBear	A+	1×	11/50	  GET
 Violet Mikaashi	A-	1×	13/50	  GET
 Lithia	D+	1×	20/50	  GET
 Vossk Hraesvelg	A+	1×	26/50	  GET
 Tu Truong	A+	1×	7/50	  GET
 Danielle dugard	C+	1×	13/50	  GET
 Ddixon68	A+	1×	9/50	  GET
 Jade	A+	1×	12/50	  GET
 Alexander Zaleski	B	1×	2/50	  GET
 Amaterasu Cain	A+	1×	19/50	  GET
 Owen Valzer	A+	1×	23/50	  GET
 Marília Bissigo	A+	1×	15/50	  GET
 Emily Hugo	A+	1×	26/50	  GET
 Tridus	A+	1×	8/50	  GET
 Bannerman	B+	1×	26/50	  GET
 Bluehawaii	A+	1×	4/50	  GET
 Shatterstar	C-	1×	5/50	  GET
 Brokenpanda	A+	1×	5/50	  GET
 Kim Thomas	B-	1×	17/50	  GET
 Sara Lyn	B-	1×	17/50	  GET
 Megan Brunger	D+	1×	4/50	  GET
 Ethereal Angel	A+	1×	29/50	  GET
 Jan Co	A+	1×	15/50	  GET
 Reyna Pelcastre	A+	1×	10/50	  GET
 Internmediate	C+	1×	22/50	  GET
 Ranpo	A+	1×	7/50	  GET
 Megan Schumacher	A+	1×	33/50	  GET
 Nytunia	A+	1×	17/50	  GET
 Otakukore	A+	1×	11/50	  GET
 Kathleen.uy24	A+	1×	38/50	  GET
 Skyflower	A+	1×	7/50	  GET
 Travis Smith	D+	1×	7/50	  GET
 Alyssa Stadvec	B	1×	2/50	  GET
 Denise Gutierrez	A-	1×	6/50	  GET
 shivum kapoor	A	1×	24/50	  GET
 Jimmy Killoran	A+	1×	29/50	  GET
 Jaiie Ralen	A+	1×	17/50	  GET
 Zenara Panadian	A+	1×	18/50	  GET
 Yardenbh	A+	1×	18/50	  GET
 Altfb00	B	1×	13/50	  GET
 Naranda	A+	1×	27/50	  GET
 Brittany Evanovich	A+	1×	8/50	  GET
 Turbospacedinosaur	A+	1×	6/50	  GET
 Anna Trader	A+	1×	16/50	  GET
 Light Wolf	B+	1×	6/50	  GET
 Amber Raflik	C	1×	7/50	  GET
 Kaitie Clink	A+	1×	23/50	  GET
 Kiki Redfox	C	1×	11/50	  GET
 Kayley Stephens	A+	1×	9/50	  GET
 AlexakaFaustus	A+	1×	10/50	  GET
 Evangelina Ledesma	A+	1×	21/50	  GET
 Tami CM	A+	1×	20/50	  GET
 Greenfaery	A+	1×	24/50	  GET
 Garan Rodgers	A+	1×	10/50	  GET
 Kastiel	B-	1×	8/50	  GET
 Clarice Quiliza Osias	A+	1×	37/50	  GET
 quios ravia	C-	1×	7/50	  GET
 Kwnak79	A+	1×	37/50	  GET
 Laurenelizabeth	A-	1×	6/50	  GET
 Erman Erol	B	1×	12/50	  GET
 Artfulizzy	B	1×	10/50	  GET
 Steve Honekai	A+	1×	13/50	  GET
 Tere	A+	1×	16/50	  GET
 Maajah Tolston	B-	1×	2/50	  GET
 Meg	C+	1×	9/50	  GET
 Chris Potato	A+	1×	6/50	  GET
 Mythgirllily	B	1×	9/50	  GET
 Tiffany Tolbert	A+	1×	36/50	  GET
 Gaby Pacheco	A+	1×	7/50	  GET
 David Tapia	C	1×	42/50	  GET
 jsly 414	D	1×	12/50	  GET
 Rebecca Kelley	A+	1×	34/50	  GET
 Abilene Tapia	A+	1×	20/50	  GET
 Jesse White	B+	1×	9/50	  GET
 Lisa	A+	1×	18/50	  GET
 Kmarie111	A+	1×	23/50	  GET
 OfraJaws	A+	1×	13/50	  GET
 Brayden.riley0803	A+	1×	34/50	  GET
 Dylan	B	1×	8/50	  GET
 Amanda	B	1×	21/50	  GET
 Keiko Watanabe	A-	1×	10/50	  GET
 Rachel Andrews	A	1×	8/50	  GET
 Ajax	A+	1×	20/50	  GET
 Ohfercryinoutloud	A-	1×	6/50	  GET
 Alice Liddell	A+	1×	21/50	  GET
 Bpaquii	A+	1×	31/50	  GET
 Kayla Tipping	B-	1×	12/50	  GET
 Contessa Carmilla	C	1×	6/50	  GET
 Kimclarkery	A+	1×	15/50	  GET
 Vennal	B	1×	18/50	  GET
 Eddboy_24	A	1×	24/50	  GET
 Caitlin Weeks	A+	1×	15/50	  GET
 Hxchip	A+	1×	19/50	  GET
 Fardiaz	B-	1×	2/50	  GET
 Patricia Lui	A+	1×	34/50	  GET
 Jason	A+	1×	15/50	  GET
 Aivel :)	A+	1×	29/50	  GET
 Tooniefied	A+	1×	4/50	  GET
 Dustinfolk88	A+	1×	17/50	  GET
 Siera Baker	C	1×	6/50	  GET
 Arye	A+	1×	6/50	  GET
 Catherine Smith	A	1×	6/50	  GET
 Zara Moreno	A-	1×	34/50	  GET
 Dillondreams	A+	1×	13/50	  GET
 Golden Fish Entertainment	A+	1×	20/50	  GET
 Pavnus	A+	1×	25/50	  GET
 Neonmobster_12138	A+	1×	14/50	  GET
 Zachary Nicoll	A+	1×	5/50	  GET
 Brent Metcalf	A+	1×	11/50	  GET
 James Fox Robinson	A+	1×	8/50	  GET
 Tabbi Murphy	A	1×	9/50	  GET
 Srhodes	C+	1×	6/50	  GET
 Msdemauro	A+	1×	16/50	  GET
 Leo.v.parker	A-	1×	25/50	  GET
 Foxgirl571	A+	1×	36/50	  GET
 Michael Bergmaier	A+	1×	50/50	  GET
 Camila Peres	A-	1×	5/50	  GET
 Debolrios	A+	1×	26/50	  GET
 otter	A+	1×	37/50	  GET
 Amanda Bramschreiber	A+	1×	38/50	  GET
 Sarahjane2974	B	1×	7/50	  GET
 Gregg KeeferPROTESTSNEONMOBCHANGES	A+	1×	2/50	  GET
 James Glover	B+	1×	34/50	  GET
 Ieashia Robinson	A	1×	7/50	  GET
 Hyperplayer7	A	1×	31/50	  GET
 Corcevado	B	1×	6/50	  GET
 Astrid Schoenly	B	1×	7/50	  GET
 Rosestar55	A+	1×	27/50	  GET
 Cece Donuts	A+	1×	38/50	  GET
 Desirae Young	A+	1×	9/50	  GET
 Kristy Brown	A+	1×	8/50	  GET
 Illogicalquacking	A+	1×	9/50	  GET
 Sara Carreon	A-	1×	15/50	  GET
 Nick Barrett	A+	1×	4/50	  GET
 Neonmobster_14218	A+	1×	7/50	  GET
 Pam Luber	A+	1×	32/50	  GET
 Hayato Ayanami	C	1×	4/50	  GET
 Care Halverson	A+	1×	28/50	  GET
 Paulo Acacio Ramos	A+	1×	9/50	  GET
 Sequoia B.M.	A+	1×	11/50	  GET
 Joe LoRe	A+	1×	3/50	  GET
 Marrisa Brenton	A+	1×	5/50	  GET
 Flakeflake	D	1×	4/50	  GET
 PanDemiQ	A+	1×	25/50	  GET
 Αλέξης Παναγιώτου	A+	1×	28/50	  GET
 Hazel Chong	A+	1×	12/50	  GET
 Bunnypop	A+	1×	10/50	  GET
 Mandi Arbizu	C+	1×	2/50	  GET
 Nicole	B+	1×	5/50	  GET
 Jeannie Lee	C-	1×	2/50	  GET
 Candy Papapiggy	A+	1×	2/50	  GET
 Michelle Holmes	A+	1×	10/50	  GET
 Great.white.media.shark	F	1×	13/50	  GET
 Courtney	A+	1×	18/50	  GET
 Melissa Holt	A	1×	13/50	  GET
 Carmon Davis	A-	1×	12/50	  GET
 Marion KH	D	1×	6/50	  GET
 Kassidi White	A	1×	13/50	  GET
 Neonmobster_19030	A+	1×	13/50	  GET
 Xxsansxx	C	1×	11/50	  GET
 Sylvie	A+	1×	8/50	  GET
 Gieglingbrandon	C	1×	5/50	  GET
 Pieater	B+	1×	5/50	  GET
 Beto	A+	1×	30/50	  GET
 Andy Wang	C-	1×	5/50	  GET
 Kristin Menniss	A+	1×	18/50	  GET
 Michael Mosher	A+	1×	2/50	  GET
 Kiran Khan	A+	1×	22/50	  GET
 Ty Nguyen	A+	1×	20/50	  GET
 Kowaiixia	A+	1×	15/50	  GET
 Elaena Stark	D-	1×	6/50	  GET
 Accennis	A+	1×	38/50	  GET
 Ashe Reed	C	1×	7/50	  GET
 Xxangelpastelxx	A+	1×	24/50	  GET
 Ianjbohn	A	1×	34/50	  GET
 Noel	A	1×	20/50	  GET
 Pdg800	A+	1×	7/50	  GET
 Ulisses Lima	A+	1×	28/50	  GET
 Lledoux99	A+	1×	4/50	  GET
 Emma	A+	1×	7/50	  GET
 Ashley	A+	1×	12/50	  GET
 Mistwing	A+	1×	8/50	  GET
 Kpop.fml	D	1×	12/50	  GET
 Minariku	A+	1×	20/50	  GET
 Paul Alexandru Geana	A+	1×	16/50	  GET
 Galeam9	B+	1×	6/50	  GET
 Tink	A-	1×	4/50	  GET
 Mikolaj Kozdron	C-	1×	5/50	  GET
 Timelessking	A+	1×	6/50	  GET
 Robert L Wilson	A+	1×	25/50	  GET
 Rae Rain	A+	1×	38/50	  GET
 Alice Björnström	D-	1×	6/50	  GET
 Gami	C	1×	7/50	  GET
 Priscilla Rodrigues	B	1×	24/50	  GET
 Low Yi Ven	B	1×	9/50	  GET
 Jango	A+	1×	6/50	  GET
 Sp1r1t_92	A+	1×	29/50	  GET
 Elizabeth Tapia	B	1×	25/50	  GET
 Giulietta Junsan	A+	1×	11/50	  GET
 Fernanda Sotillo	D+	1×	5/50	  GET
 Lafwyn	A+	1×	10/50	  GET
 Kiki Lim	C	1×	24/50	  GET
 Stephanie Collins	D+	1×	12/50	  GET
 Matzika	A	1×	21/50	  GET
 Crystal Dawn	C	1×	3/50	  GET
 TacticalCat	A+	1×	26/50	  GET
 Kari Junco	A+	1×	32/50	  GET
 Caleb Chou	A+	1×	21/50	  GET
 Rynn Hanna	A+	1×	2/50	  GET
 Nemesis as Nehvita	A+	1×	15/50	  GET
 Mary	C	1×	6/50	  GET
 Pak001	B	1×	7/50	  GET
 Hideonblade	B	1×	3/50	  GET
 Greenghost242	A	1×	15/50	  GET
 Breezybee26	C-	1×	13/50	  GET
 Allan_The_Dragon	A-	1×	35/50	  GET
 Tara Von 6	A+	1×	2/50	  GET
 Lola Heart	A+	1×	12/50	  GET
 Dani	C-	1×	6/50	  GET
 Amethyst	A+	1×	18/50	  GET
 Kay de Leon	A+	1×	18/50	  GET
 Kamsvagmilosz	A+	1×	8/50	  GET
 Jeremy	A+	1×	3/50	  GET
 Lauren	F+	1×	7/50	  GET
 Rareecho	B	1×	5/50	  GET
 Billy Pomerleau	A	1×	38/50	  GET
 Sydney Wright	A+	1×	8/50	  GET
 rhodychick	A+	1×	35/50	  GET
 Julia Gallego	C	1×	6/50	  GET
 Koyako	A+	1×	35/50	  GET
 Bino	A+	1×	15/50	  GET
 Steven Edwards	A+	1×	2/50	  GET
 Kimberly Aumada	A+	1×	10/50	  GET
 Pearson	A+	1×	10/50	  GET
 Veronicafalls	A+	1×	20/50	  GET
 Jelleke	B+	1×	14/50	  GET
 Thirdfloordraft	F	1×	10/50	  GET
 Dexydragon	A+	1×	8/50	  GET
 SH	A+	1×	11/50	  GET
 Setep AnkhAtum	F	1×	20/50	  GET
 Zauni	B+	1×	21/50	  GET
 Patryk Surmacz	A+	1×	14/50	  GET
 Mercyfortheundead	A+	1×	7/50	  GET
 Buddy2539	A+	1×	15/50	  GET
 Ben Williams	A	1×	6/50	  GET
 Joar Andersson	C	1×	7/50	  GET
 Lucas Tetrault	A+	1×	11/50	  GET
 Jacko7794	A+	1×	5/50	  GET
 Coolstace Offical_stace	A+	1×	20/50	  GET
 Falon Higgins	A-	1×	7/50	  GET
 Harold Stiven Casquete Cardozo	C	1×	5/50	  GET
 Lidia Martin	A+	1×	24/50	  GET
 Sage H.	B+	1×	19/50	  GET
 Raymond Martinez	A	1×	6/50	  GET
 Rize	A+	1×	4/50	  GET
 Alicemoonfrost	B+	1×	4/50	  GET
 Neon7777	C+	1×	18/50	  GET
 Kyla	A+	1×	26/50	  GET
 Phelix	A+	1×	17/50	  GET
 Tyler O'sullivan	B+	1×	7/50	  GET
 Lando	A	1×	16/50	  GET
 Gfoga2	B-	1×	5/50	  GET
 Daviddoner1	C	1×	2/50	  GET
 Mandy Newton	A+	1×	11/50	  GET
 Danielle Doyle	A+	1×	18/50	  GET
 Jewlz Robertson	A+	1×	39/50	  GET
 Heather Buckner	A+	1×	19/50	  GET
 Matthew Nunez	B	1×	9/50	  GET
 James Schaffer	A+	1×	14/50	  GET
 Zeea Moss	A+	1×	7/50	  GET
 Michelle Vigeant	B+	1×	7/50	  GET
 dai	A	1×	19/50	  GET
 Urbanjedi	B	1×	22/50	  GET
 Kariotis21	A+	1×	29/50	  GET
 Phantomstriker14	A	1×	7/50	  GET
 Barb Ngai	A+	1×	32/50	  GET
 Phellippi Fuzyama	A+	1×	9/50	  GET
 Zjilch	B+	1×	7/50	  GET
 Legotun	C	1×	5/50	  GET
 Raevyn	A-	1×	29/50	  GET
 Michael Galindo	A+	1×	30/50	  GET
 Radant5	C	1×	5/50	  GET
 Haylee Moran	A+	1×	30/50	  GET
 Janterra	C	1×	15/50	  GET
 Matthew	F	1×	2/50	  GET
 Nicole Proud	A+	1×	7/50	  GET
 Fabro Hailsatan	C-	1×	25/50	  GET
 Cat Wade	A	1×	4/50	  GET
 Ulisses Schulz	B	1×	6/50	  GET
 Luna Siobhan	A-	1×	7/50	  GET
 Virginia Lore	A+	1×	8/50	  GET
 Eodragon1	A+	1×	6/50	  GET
 Elvis	A+	1×	15/50	  GET
 Amelia	A+	1×	29/50	  GET
 Evan	A+	1×	44/50	  GET
 Ellina Huang	A+	1×	26/50	  GET
 Kyuketsuki_sama	A+	1×	23/50	  GET
 Moochan	A+	1×	14/50	  GET
 Gabriela González	A+	1×	20/50	  GET
 Parry Hotter	A+	1×	29/50	  GET
 NeonShelter	F	1×	3/50	  GET
 Esmeralda	A+	1×	15/50	  GET
 Ghunterd	B+	1×	3/50	  GET
 Mel Mel	D-	1×	3/50	  GET
 Ryan Joshi	A+	1×	18/50	  GET
 Gabriella Betancourt	C	1×	13/50	  GET
 Angel B	A+	1×	27/50	  GET
 Spencer Hardy	C-	1×	11/50	  GET
 Collector32	A+	1×	4/50	  GET
 Bethany Fisher	A+	1×	30/50	  GET
 Csnickyrialb	B	1×	13/50	  GET
 Frankendoodle	A+	1×	6/50	  GET
 Jinxedcross	A+	1×	2/50	  GET
 Cassidy English	D-	1×	15/50	  GET
 Cooper	A+	1×	23/50	  GET
 Cat Degges	A+	1×	11/50	  GET
 Gdiii	A+	1×	35/50	  GET
 Frog Wednesday	A+	1×	10/50	  GET
 Cayden OConnor	B	1×	4/50	  GET
 Ellie Cameron	A	1×	2/50	  GET
 Miguel Tiago	C+	1×	16/50	  GET
 Brandon	C+	1×	12/50	  GET
 Skrimply	C-	1×	10/50	  GET
 Aschlais88	B-	1×	7/50	  GET
 Stormageddon	B	1×	23/50	  GET
 Hiyorivpanda	B	1×	6/50	  GET
 Sara	A+	1×	22/50	  GET
 Dave Leach	A+	1×	4/50	  GET
 Kaylie Howard	B+	1×	10/50	  GET
 Michelle Rhodes	B-	1×	2/50	  GET
 Lisa Kucish	A+	1×	35/50	  GET
 Cleanpenny	A+	1×	32/50	  GET
 Musleblast The Ultimate Gamer	A	1×	9/50	  GET
 Danielle	A+	1×	2/50	  GET
 Amanda Petzak	A+	1×	23/50	  GET
 Grimblood	A+	1×	15/50	  GET
 Rdg001	A+	1×	12/50	  GET
 Jackie	B	1×	11/50	  GET
 Sadie Kimble	C	1×	12/50	  GET
 Grayson Ingram	A+	1×	22/50	  GET
 Millia	A+	1×	6/50	  GET
 Rochelle Burrage	A+	1×	20/50	  GET
 Chris23	B+	1×	14/50	  GET
 Duh_nate123	B	1×	14/50	  GET
 Rachel Sampson	A+	1×	27/50	  GET
 Ryan Leeb	D	1×	17/50	  GET
 Ms. Marie Mac	A+	1×	3/50	  GET
 Neonmobster_17646	A+	1×	15/50	  GET
 Sebastián Bertonasco	C	1×	7/50	  GET
 Juanita Bonvillain	A+	1×	7/50	  GET
 Jason Rogers	A+	1×	19/50	  GET
 Ria Drakenheart	B	1×	18/50	  GET
 Rachel Kaloczi	C	1×	13/50	  GET
 Bloodysuki	A	1×	4/50	  GET
